handle	kind	old_id	new_id	old_path	new_path	title
lobid	DI	DI-003-20260423-125217	DI-lobid	TODO/003-mob-consensus-gui-desktop.md#DI-003-20260423-125217	TODO/TODO-guvan-mob-consensus-gui-desktop.md#DI-lobid	Track implementation of GUI desktop support for `mob-consensus` as a dedicated TODO with explicit scope, dependencies, and validation steps.
pisuj	DI	DI-003-20260430-182956	DI-pisuj	TODO/003-mob-consensus-gui-desktop.md#DI-003-20260430-182956	TODO/TODO-guvan-mob-consensus-gui-desktop.md#DI-pisuj	Implement the GUI desktop as a runit-backed producer-image substrate plus decomk-managed GUI package/service reconciliation keyed off `GUI_DESKTOP`, using standard runit paths (`/etc/sv`, `/etc/service`) and replacing the legacy clipboard popup with a Desktop note file.
saboz	DI	DI-004-20260423-133950	DI-saboz	TODO/004-mob-consensus-gui-stack.md#DI-004-20260423-133950	TODO/TODO-fogup-mob-consensus-gui-stack.md#DI-saboz	Create a dedicated GUI-stack TODO driven by the current `mob-sandbox` post-create script so GUI behavior is migrated deliberately into `decomk-conf-cswg` without losing user-facing functionality.
fiduv	DI	DI-004-20260430-182956	DI-fiduv	TODO/004-mob-consensus-gui-stack.md#DI-004-20260430-182956	TODO/TODO-fogup-mob-consensus-gui-stack.md#DI-fiduv	Use a runit-backed producer image that starts with no GUI services enabled, then let decomk install GUI packages, write runit service definitions into `/etc/sv`, enable them via `/etc/service`, and write only a Desktop clipboard-help note during GUI `postCreate`.
bonar	DI	DI-004-20260430-194224	DI-bonar	TODO/004-mob-consensus-gui-stack.md#DI-004-20260430-194224	TODO/TODO-fogup-mob-consensus-gui-stack.md#DI-bonar	Fix the producer bootstrap and noVNC landing behavior by updating the stale `openssh-server` package pin in `.devcontainer/Dockerfile` and adding a GUI-time `/usr/share/novnc/index.html -> vnc.html` shim in `gui_runit_sync` so the generated `websockify --web=/usr/share/novnc/` service serves a stable default page only when GUI packages are present.
zajid	DI	DI-004-20260501-023052	DI-zajid	TODO/004-mob-consensus-gui-stack.md#DI-004-20260501-023052	TODO/TODO-fogup-mob-consensus-gui-stack.md#DI-zajid	Stop redefining `DECOMK_REMOTE_USER` and `DECOMK_REMOTE_UID` in `Makefile`; instead, require the remote user contract to come from the container/stage-0 environment and derive the UID from the configured username at GUI runtime.
hafuj	DI	DI-004-20260501-182529	DI-hafuj	TODO/004-mob-consensus-gui-stack.md#DI-004-20260501-182529	TODO/TODO-fogup-mob-consensus-gui-stack.md#DI-hafuj	Move `DECOMK_HOME`, `DECOMK_LOG_DIR`, and the `RUNIT_*` path contract into `.devcontainer/Dockerfile`, remove fallback definitions for those values from stage-0 and `Makefile`, and keep `DECOMK_FAIL_NOBOOT` owned by `devcontainer.json` with no fallback elsewhere.
gipuk	DI	DI-004-20260514-052331	DI-gipuk	TODO/004-mob-consensus-gui-stack.md#DI-004-20260514-052331	TODO/TODO-fogup-mob-consensus-gui-stack.md#DI-gipuk	Treat `x-terminal-emulator` as part of the shared `GUIDesktop` contract and satisfy it with the minimal pinned `xterm=390-1ubuntu3` package from the current `20260430T000000Z` APT snapshot.
dobot	DI	DI-004-20260514-053926	DI-dobot	TODO/004-mob-consensus-gui-stack.md#DI-004-20260514-053926	TODO/TODO-fogup-mob-consensus-gui-stack.md#DI-dobot	Treat a user D-Bus session as part of the shared `GUIDesktop` runtime by installing pinned `dbus-x11=1.14.10-4ubuntu4.1` and launching `openbox-session` through `dbus-run-session`.
samat	DI	DI-004-20260514-172252	DI-samat	TODO/004-mob-consensus-gui-stack.md#DI-004-20260514-172252	TODO/TODO-fogup-mob-consensus-gui-stack.md#DI-samat	Move the legacy mob-sandbox WebKitGTK sandbox workaround into the shared `GUIDesktop` runtime by exporting `WEBKIT_DISABLE_SANDBOX_THIS_IS_DANGEROUS=1` from the Openbox session and pre-creating user-owned browser cache directories.
tujul	DI	DI-005-20260507-133819	DI-tujul	TODO/005-channel-branch-rendering.md#DI-005-20260507-133819	TODO/TODO-sibak-channel-branch-rendering.md#DI-tujul	Make `.decomk/channels.json` the source of branch-channel devcontainer policy for this conf repo and treat `.devcontainer/devcontainer.json` as a rendered artifact produced by `decomk branch render`.
losiv	DI	DI-005-20260507-153000	DI-losiv	TODO/005-channel-branch-rendering.md#DI-005-20260507-153000	TODO/TODO-sibak-channel-branch-rendering.md#DI-losiv	Add a cross-repo ownership boundary to `AGENTS.md` requiring decomk implementation changes to be made only by the Codex session running in `/home/stevegt/lab/decomk`, while this repo may write decomk TODO handoff files to request that work.
bikor	DI	DI-005-20260510-120459	DI-bikor	TODO/005-channel-branch-rendering.md#DI-005-20260510-120459	TODO/TODO-sibak-channel-branch-rendering.md#DI-bikor	Store the rendered `overrideCommand` comment in `.decomk/channels.json` using decomk's `devcontainer.comments.overrideCommand` registry field.
luhis	DI	DI-006-20260510-134857	DI-luhis	TODO/006-release-image-script.md#DI-006-20260510-134857	TODO/TODO-nulum-release-image-script.md#DI-luhis	Add `tools/release-image.sh` as a checkpoint-backed release helper that builds candidate images, pushes immutable block-stamped tags, and moves explicit block/channel aliases with `decomk checkpoint tag -m`.
hisis	DI	DI-006-20260510-141252	DI-hisis	TODO/006-release-image-script.md#DI-006-20260510-141252	TODO/TODO-nulum-release-image-script.md#DI-hisis	Replace the generated `--block`/candidate/immutable tag model with an explicit `--immutable-tag` operator input; the script publishes exactly `${IMAGE}:${IMMUTABLE_TAG}` and moves only the requested channel tags to that release reference.
radah	DI	DI-006-20260510-142027	DI-radah	TODO/006-release-image-script.md#DI-006-20260510-142027	TODO/TODO-nulum-release-image-script.md#DI-radah	Remove the public `--stamp` release-image argument and generate an internal `RUN_ID` for artifact directory names and temporary local build-source tags.
navur	DI	DI-006-20260510-142425	DI-navur	TODO/006-release-image-script.md#DI-006-20260510-142425	TODO/TODO-nulum-release-image-script.md#DI-navur	Pass the canonical release reference `${IMAGE}:${IMMUTABLE_TAG}` directly to `decomk checkpoint build -tag` in build mode, then push that exact tag to the registry.
gozob	DI	DI-006-20260510-144211	DI-gozob	TODO/006-release-image-script.md#DI-006-20260510-144211	TODO/TODO-nulum-release-image-script.md#DI-gozob	Use `decomk checkpoint build` only for the build step; perform all release and channel publishing with explicit `docker push`, `docker pull`, `docker tag`, and `docker push` commands.
lufih	DI	DI-007-20260510-163752	DI-lufih	TODO/007-apt-oci-cache.md#DI-007-20260510-163752	TODO/TODO-hopun-apt-oci-cache.md#DI-lufih	Add an `apt-oci` helper that turns an `apt install <pkgs>` request into an OCI-cached bundle (requested packages + dependency closure) and always installs from the cache.
kidiv	DI	DI-007-20260513-190436	DI-kidiv	TODO/007-apt-oci-cache.md#DI-007-20260513-190436	TODO/TODO-hopun-apt-oci-cache.md#DI-kidiv	Replace the immediate `apt-oci` implementation with `apt-pin`, a `PATH`-installed `apt-get` passthrough that requires `APT_PIN_SNAPSHOT` and injects Ubuntu's `--snapshot` option for every APT command it runs.
fifaf	DI	DI-007-20260513-195450	DI-fifaf	TODO/007-apt-oci-cache.md#DI-007-20260513-195450	TODO/TODO-hopun-apt-oci-cache.md#DI-fifaf	Make APT's `APT::Snapshot` configuration the v1 snapshot authority; `apt-pin` validates that configuration and delegates to plain `apt-get` without passing `--snapshot` itself.
zakul	DI	DI-007-20260514-050759	DI-zakul	TODO/007-apt-oci-cache.md#DI-007-20260514-050759	TODO/TODO-hopun-apt-oci-cache.md#DI-zakul	Align the `Block10` `openssh-client` package target with the image-owned `20260430T000000Z` APT snapshot by moving the pinned version from `1:9.6p1-3ubuntu13.15` to `1:9.6p1-3ubuntu13.16`.
kobih	DI	DI-008-20260515-040231	DI-kobih	TODO/008-selftest-codespaces-machine-fallback.md#DI-008-20260515-040231	TODO/TODO-riguz-selftest-codespaces-machine-fallback.md#DI-kobih	Use `basicLinux32gb` as the documented default fallback machine for `tools/selftest-codespaces.sh` when noninteractive machine auto-resolution cannot find a repository-specific machine.
rolat	DI	DI-009-20260515-042945	DI-rolat	TODO/009-oss-fetch-oci-cache.md#DI-009-20260515-042945	TODO/TODO-sapan-oss-fetch-oci-cache.md#DI-rolat	Replace the direct `wget` fetch in the `Makefile` `OSS_20260307` target with a cache-backed artifact fetch that uses the same future OCI cache authority planned for `apt-pin`.
dadak	DI	DI-010-20260516-035351	DI-dadak	TODO/010-makefile-script-boundary.md#DI-010-20260516-035351	TODO/TODO-rifol-makefile-script-boundary.md#DI-dadak	Keep `Makefile` responsible for the dependency graph and short command dispatch only; move non-trivial shell logic into reviewable scripts under `bin/`.
jitav	DI	DI-011-20260517-212822	DI-jitav	TODO/011-fix-runit-gui-service-detection.md#DI-011-20260517-212822	TODO/TODO-dagij-fix-runit-gui-service-detection.md#DI-jitav	Fix the decomk GUI runit service runner so symlinked `./run` invocations derive the service name from the current service directory instead of only from `$0`.
linod	DI	DI-011-20260518-050809	DI-linod	TODO/011-fix-runit-gui-service-detection.md#DI-011-20260518-050809	TODO/TODO-dagij-fix-runit-gui-service-detection.md#DI-linod	Apply the same current-directory-aware runit invocation handling to `main()` so service `run` and `log/run` symlinks dispatch to the correct runner when runit invokes either path as `./run`.
rutoj	DI	DI-012-20260517-213223	DI-rutoj	TODO/012-block20-gui-baseline.md#DI-012-20260517-213223	TODO/TODO-gopof-block20-gui-baseline.md#DI-rutoj	Track `Block20` as the append-only baseline image block that installs and supervises the GUI desktop stack for every repository consuming the decomk baseline image.
tazit	DI	DI-013-20260518-054020	DI-tazit	TODO/013-gui-runtime-selftest.md#DI-013-20260518-054020	TODO/TODO-tozoh-gui-runtime-selftest.md#DI-tazit	Add a dedicated GUI runtime Codespaces selftest for this repo using `.devcontainer/gui-selftest/devcontainer.json`, `GUI_SELFTEST_1`, `tools/selftest-gui-codespaces.sh`, and `bin/gui-runtime-healthcheck.sh`.
gipif	DI	DI-013-20260518-061019	DI-gipif	TODO/013-gui-runtime-selftest.md#DI-013-20260518-061019	TODO/TODO-tozoh-gui-runtime-selftest.md#DI-gipif	Remove `DEVCONTAINER_GUI` from decomk policy, Makefile plumbing, demo scripts, and GUI runtime health checks.
